    [cegar round 850, cycle len 3]
    [cegar round 900, cycle len 4]
    [cegar round 950, cycle len 4]
    [cegar round 1000, cycle len 4]
    [cegar round 1050, cycle len 7]
    [cegar round 1100, cycle len 3]
    [cegar round 1150, cycle len 3]
    [cegar round 1200, cycle len 3]
    [cegar round 1250, cycle len 5]
    [cegar round 1300, cycle len 5]
    [cegar round 1350, cycle len 6]
    [cegar round 1400, cycle len 5]
    [cegar round 1450, cycle len 9]
    [cegar round 1500, cycle len 5]
    [cegar round 1550, cycle len 5]
    [cegar round 1600, cycle len 5]
    [cegar round 1650, cycle len 8]
    [cegar round 1700, cycle len 4]
    [cegar round 1750, cycle len 4]
    [cegar round 1800, cycle len 3]
plain C=5.0 N=60: SAT (3s, 1837 cegar rounds)
    [cegar round 50, cycle len 4]
    [cegar round 100, cycle len 3]
    [cegar round 150, cycle len 4]
    [cegar round 200, cycle len 5]
    [cegar round 250, cycle len 7]
    [cegar round 300, cycle len 5]
    [cegar round 350, cycle len 3]
    [cegar round 400, cycle len 5]
    [cegar round 450, cycle len 4]
    [cegar round 500, cycle len 3]
    [cegar round 550, cycle len 5]
    [cegar round 600, cycle len 5]
    [cegar round 650, cycle len 4]
    [cegar round 700, cycle len 4]
    [cegar round 750, cycle len 3]
    [cegar round 800, cycle len 5]
    [cegar round 850, cycle len 3]
    [cegar round 900, cycle len 3]
    [cegar round 950, cycle len 3]
    [cegar round 1000, cycle len 6]
    [cegar round 1050, cycle len 6]
    [cegar round 1100, cycle len 4]
    [cegar round 1150, cycle len 3]
    [cegar round 1200, cycle len 3]
    [cegar round 1250, cycle len 3]
    [cegar round 1300, cycle len 3]
    [cegar round 1350, cycle len 7]
    [cegar round 1400, cycle len 5]
    [cegar round 1450, cycle len 4]
    [cegar round 1500, cycle len 3]
    [cegar round 1550, cycle len 9]
    [cegar round 1600, cycle len 6]
    [cegar round 1650, cycle len 3]
    [cegar round 1700, cycle len 3]
    [cegar round 1750, cycle len 6]
    [cegar round 1800, cycle len 4]
    [cegar round 1850, cycle len 7]
    [cegar round 1900, cycle len 5]
    [cegar round 1950, cycle len 7]
    [cegar round 2000, cycle len 3]
    [cegar round 2050, cycle len 3]
    [cegar round 2100, cycle len 3]
    [cegar round 2150, cycle len 4]
    [cegar round 2200, cycle len 3]
    [cegar round 2250, cycle len 3]
    [cegar round 2300, cycle len 3]
    [cegar round 2350, cycle len 4]
    [cegar round 2400, cycle len 5]
    [cegar round 2450, cycle len 8]
    [cegar round 2500, cycle len 7]
    [cegar round 2550, cycle len 8]
    [cegar round 2600, cycle len 8]
    [cegar round 2650, cycle len 7]
    [cegar round 2700, cycle len 8]
    [cegar round 2750, cycle len 5]
    [cegar round 2800, cycle len 3]
    [cegar round 2850, cycle len 8]
    [cegar round 2900, cycle len 4]
    [cegar round 2950, cycle len 7]
    [cegar round 3000, cycle len 5]
    [cegar round 3050, cycle len 7]
    [cegar round 3100, cycle len 6]
    [cegar round 3150, cycle len 3]
    [cegar round 3200, cycle len 5]
    [cegar round 3250, cycle len 3]
    [cegar round 3300, cycle len 6]
    [cegar round 3350, cycle len 8]
    [cegar round 3400, cycle len 8]
    [cegar round 3450, cycle len 6]
    [cegar round 3500, cycle len 6]
    [cegar round 3550, cycle len 3]
    [cegar round 3600, cycle len 4]
    [cegar round 3650, cycle len 4]
    [cegar round 3700, cycle len 3]
    [cegar round 3750, cycle len 5]
    [cegar round 3800, cycle len 6]
    [cegar round 3850, cycle len 4]
    [cegar round 3900, cycle len 5]
    [cegar round 3950, cycle len 3]
    [cegar round 4000, cycle len 12]
plain C=5.0 N=90: UNKNOWN (18s, 4001 cegar rounds)
